Date,Open,High,Low,Close,Volume,Market Cap
2020-03-24,6436.64,6789.02,6411.07,6734.8,48221910672.0,123148917787.0
2020-03-23,5831.37,6443.93,5785.0,6416.31,46491916000.0,117314776187.0
2020-03-22,6185.56,6359.7,5823.71,5830.25,40099664740.0,106591196069.0
2020-03-21,6206.52,6378.14,5932.82,6185.07,42494390880.0,113068192795.0
2020-03-20,6191.65,6844.26,5865.78,6198.78,54442976103.0,113309245860.0
2020-03-19,5245.42,6329.74,5236.97,6191.19,51000731797.0,113162079956.0
2020-03-18,5227.11,5331.83,5069.34,5238.44,37878801016.0,95740715529.0
2020-03-17,5002.58,5371.35,4981.91,5225.63,38622642935.0,95499941183.0
2020-03-16,5385.23,5385.23,4575.36,5014.48,45368026430.0,91633478850.0
2020-03-15,5201.07,5836.65,5169.28,5392.31,33997889639.0,98530059890.0
2020-03-14,5573.08,5625.23,5125.07,5200.37,36154506008.0,95014981944.0
2020-03-13,5017.83,5838.11,4106.98,5563.71,74156772075.0,101644613038.0
2020-03-12,7913.62,7929.12,4860.35,4970.79,53980357243.0,90804613601.0
2020-03-11,7910.09,7950.81,7642.81,7911.43,38682762605.0,144508402671.0
2020-03-10,7922.15,8136.95,7814.76,7909.73,42213940994.0,144465567734.0
2020-03-09,8111.15,8177.79,7690.1,7923.64,46936995808.0,144706353758.0
2020-03-08,8908.21,8914.34,8105.25,8108.12,39973102121.0,148060284561.0
2020-03-07,9121.6,9163.22,8890.74,8909.95,36216930370.0,162684945903.0
2020-03-06,9078.31,9167.7,9032.08,9122.55,40826885651.0,166548261960.0
2020-03-05,8760.29,9142.05,8757.25,9078.76,39698054597.0,165731679918.0
2020-03-04,8788.54,8843.37,8712.43,8755.25,34746706368.0,159807857328.0
2020-03-03,8865.39,8901.6,8704.99,8787.79,42386715821.0,160383579416.0
2020-03-02,8563.26,8921.31,8532.63,8869.67,42857674409.0,161861167745.0
2020-03-01,8599.76,8726.8,8471.21,8562.45,35349164300.0,156238987740.0
2020-02-29,8671.21,8775.63,8599.51,8599.51,35792392544.0,156895988084.0
2020-02-28,8788.73,8890.46,8492.93,8672.46,44605450443.0,158211707019.0
2020-02-27,8825.09,8932.89,8577.2,8784.49,45470195695.0,160238496932.0
2020-02-26,9338.29,9354.78,8704.43,8820.52,50420050762.0,160879489024.0
2020-02-25,9651.31,9652.74,9305.02,9341.71,42515259129.0,170369581558.0
2020-02-24,9921.58,9951.75,9537.04,9650.17,45080496648.0,175977808526.0
2020-02-23,9663.32,9937.4,9657.79,9924.52,41185185761.0,180963233540.0
2020-02-22,9687.71,9698.23,9600.73,9663.18,35838025154.0,176180696548.0
2020-02-21,9611.78,9723.01,9589.74,9686.44,40930547513.0,176587087363.0
2020-02-20,9629.33,9643.22,9507.9,9608.48,44925260237.0,175147142158.0
2020-02-19,10143.8,10191.68,9611.22,9633.39,46992019710.0,175585931679.0
2020-02-18,9691.23,10161.94,9632.38,10142.0,47271023953.0,184838512656.0
2020-02-17,9936.56,9938.82,9507.64,9690.14,45998298413.0,176585280987.0
2020-02-16,9889.18,10053.97,9722.39,9934.43,43374780305.0,181017665264.0
2020-02-15,10313.86,10341.56,9874.43,9889.42,43865054831.0,180179996219.0
2020-02-14,10211.55,10322.0,10125.53,10312.12,43338264162.0,187862645449.0
2020-02-13,10323.96,10457.63,10116.16,10214.38,49356071373.0,186065003526.0
2020-02-12,10202.39,10393.61,10202.39,10326.05,43444303830.0,188081204386.0
2020-02-11,9855.89,10210.05,9729.33,10208.24,37648059389.0,185917114989.0
2020-02-10,10115.56,10165.77,9784.56,9856.61,39386548075.0,179494809266.0
2020-02-09,9863.89,10129.44,9850.39,10116.67,35807884663.0,184214765394.0
2020-02-08,9793.07,9876.75,9678.91,9865.12,35172043762.0,179615828322.0
2020-02-07,9726.0,9834.72,9726.0,9795.94,34522718159.0,178339437206.0
2020-02-06,9617.82,9824.62,9539.82,9729.8,37628823716.0,177118274394.0
2020-02-05,9183.42,9701.3,9163.7,9613.42,35222060874.0,174983423933.0
2020-02-04,9292.84,9331.27,9112.81,9180.96,29893183716.0,167093636162.0
2020-02-03,9344.68,9540.37,9248.63,9293.52,30934096509.0,169126861034.0
2020-02-02,9389.82,9468.8,9217.82,9344.37,30835736946.0,170034976662.0
2020-02-01,9346.36,9439.32,9313.24,9392.88,25922656496.0,170900662180.0
2020-01-31,9508.31,9521.71,9230.78,9350.53,29432489719.0,170112778161.0
2020-01-30,9316.02,9553.13,9230.9,9508.99,32378792851.0,172978577931.0
2020-01-29,9357.47,9406.43,9269.47,9316.63,30682598115.0,169460984603.0
2020-01-28,8912.52,9358.59,8908.45,9358.59,34398744403.0,170205617955.0
2020-01-27,8597.31,8977.73,8597.31,8909.82,28647338393.0,162027957435.0
2020-01-26,8364.41,8602.4,8325.5,8596.83,22177678796.0,156322174637.0
2020-01-25,8440.12,8458.45,8296.22,8367.85,19647331549.0,152143262650.0
2020-01-24,8405.57,8514.67,8266.84,8445.43,24397913026.0,153536829768.0
2020-01-23,8680.65,8687.75,8333.64,8406.52,25770680779.0,152813329633.0
2020-01-22,8744.21,8792.99,8636.75,8680.88,22600204051.0,157783273070.0
2020-01-21,8658.99,8755.71,8544.52,8745.89,24097418512.0,158947996834.0
2020-01-20,8704.63,8745.59,8560.47,8657.64,26422375678.0,157327553259.0
2020-01-19,8941.45,9164.36,8620.08,8706.25,34217320471.0,158194319735.0
2020-01-18,8927.21,9012.2,8827.33,8942.81,32337772627.0,162475965880.0
2020-01-17,8725.21,8958.12,8677.32,8929.04,36372139320.0,162211148778.0
2020-01-16,8812.48,8846.46,8612.1,8723.79,31313981931.0,158465055984.0
2020-01-15,8825.34,8890.12,8657.19,8807.01,40102834650.0,159959191212.0
2020-01-14,8140.93,8879.51,8140.93,8827.76,44841784107.0,160319484883.0
2020-01-13,8189.77,8197.79,8079.7,8144.19,22482910688.0,147890525973.0
2020-01-12,8033.26,8200.06,8009.06,8192.49,22903438381.0,148752956966.0
2020-01-11,8162.19,8218.36,8029.64,8037.54,25521165085.0,145924199942.0
2020-01-10,7878.31,8166.55,7726.77,8166.55,28714583844.0,148249907277.0
2020-01-09,8082.3,8082.3,7842.4,7879.07,24045990466.0,143016572819.0
2020-01-08,8161.94,8396.74,7956.77,8079.86,31672559265.0,146645162431.0
2020-01-07,7768.68,8178.22,7768.23,8163.69,28767291327.0,148152237654.0
2020-01-06,7410.45,7781.87,7409.29,7769.22,23276261598.0,140976457304.0
2020-01-05,7410.45,7544.5,7400.54,7411.32,19725074095.0,134469548249.0
2020-01-04,7345.38,7427.39,7309.51,7410.66,18444271275.0,134442464030.0
2020-01-03,6984.43,7413.72,6915.0,7344.88,28111481032.0,133233444755.0
2020-01-02,7202.55,7212.16,6935.27,6985.47,20802083465.0,126699395235.0
2020-01-01,7194.89,7254.33,7174.94,7200.17,18565664997.0,130580829150.0
2019-12-31,7294.44,7335.29,7169.78,7193.6,21167946112.0,130446112598.0
2019-12-30,7420.27,7454.82,7276.31,7293.0,22874131672.0,132235128152.0
2019-12-29,7317.65,7513.95,7279.87,7422.65,22445257702.0,134570835775.0
2019-12-28,7289.03,7399.04,7286.91,7317.99,21365673026.0,132659059740.0
2019-12-27,7238.14,7363.53,7189.93,7290.09,22777360996.0,132139502950.0
2019-12-26,7274.8,7388.3,7200.39,7238.97,22787010034.0,131200030100.0
2019-12-25,7325.76,7357.02,7220.99,7275.16,21559505149.0,131840641292.0
2019-12-24,7354.39,7535.72,7269.53,7322.53,22991622105.0,132687583295.0
2019-12-23,7508.9,7656.18,7326.19,7355.63,27831788041.0,133275709111.0
2019-12-22,7191.19,7518.03,7167.18,7511.59,23134537956.0,136088022049.0
2019-12-21,7220.59,7223.23,7112.74,7191.16,19312552168.0,130267655889.0
2019-12-20,7208.64,7257.92,7086.12,7218.82,22633815180.0,130752796980.0
2019-12-19,7277.59,7346.6,7041.38,7202.84,25904604416.0,130445758713.0
2019-12-18,6647.7,7324.98,6540.05,7276.8,31836522778.0,131754969804.0
2019-12-17,6931.32,6964.07,6587.97,6640.52,22363804217.0,120234244809.0
2019-12-16,7153.66,7171.17,6903.68,6932.48,20213265950.0,125515586952.0
2019-12-15,7124.24,7181.08,6924.38,7152.3,16881129804.0,129481424648.0
2019-12-14,7268.9,7308.84,7097.21,7124.67,17137029730.0,128970221233.0
2019-12-13,7244.66,7293.56,7227.12,7269.68,17125736940.0,131581377758.0
2019-12-12,7216.74,7266.64,7164.74,7243.13,18927080224.0,131087151088.0
2019-12-11,7277.2,7324.16,7195.53,7217.43,16350490689.0,130609895528.0
2019-12-10,7397.13,7424.02,7246.04,7278.12,18249031195.0,131696121855.0
2019-12-09,7561.8,7618.09,7365.99,7400.9,17872021272.0,133904005787.0
2019-12-08,7551.34,7634.61,7476.09,7564.35,15409908086.0,136847419896.0
2019-12-07,7547.27,7589.95,7525.71,7556.24,15453520564.0,136686769529.0
2019-12-06,7450.56,7547.0,7392.18,7547.0,18104466307.0,136504883935.0
2019-12-05,7253.24,7743.43,7232.68,7448.31,18816085231.0,134706455048.0
2019-12-04,7320.13,7539.78,7170.92,7252.03,21664240918.0,131143073943.0
2019-12-03,7323.98,7418.86,7229.36,7320.15,14797485769.0,132359942301.0
2019-12-02,7424.04,7474.82,7233.4,7321.99,17082040706.0,132378982377.0
2019-12-01,7571.62,7571.62,7291.34,7424.29,18720708479.0,134215145410.0
2019-11-30,7764.06,7836.1,7515.85,7569.63,17158194786.0,136829391049.0
2019-11-29,7466.73,7781.18,7460.76,7761.24,19709695456.0,140280108521.0
2019-11-28,7536.82,7730.07,7454.12,7463.11,19050116751.0,134879411013.0
